date,rates
2016/1/4,6.562821
2016/1/11,6.572834
2016/1/18,6.576874
2016/1/25,6.58019
2016/2/1,6.574996
2016/2/8,6.568649
2016/2/15,6.52143
2016/2/22,6.528497
2016/2/29,6.543841
2016/3/7,6.500726
2016/3/14,6.486827
2016/3/21,6.506399
2016/3/28,6.476741
2016/4/4,6.470156
2016/4/11,6.472129
2016/4/18,6.481524
2016/4/25,6.484073
2016/5/2,6.490347
2016/5/9,6.517584
2016/5/16,6.537284
2016/5/23,6.558076
2016/5/30,6.576287
2016/6/6,6.564101
2016/6/13,6.587847
2016/6/20,6.593464
2016/6/27,6.647966
2016/7/4,6.680599
2016/7/11,6.687959
2016/7/18,6.683101
2016/7/25,6.6594
2016/8/1,6.642309
2016/8/8,6.6438
2016/8/15,6.638707
2016/8/22,6.660473
2016/8/29,6.678993
2016/9/5,6.676331
2016/9/12,6.674403
2016/9/19,6.670479
2016/9/26,6.668816
2016/10/3,6.6709
2016/10/10,6.719396
2016/10/17,6.747874
2016/10/24,6.776227
2016/10/31,6.763363
2016/11/7,6.79623
2016/11/14,6.867829
2016/11/21,6.909059
2016/11/28,6.888914
2016/12/5,6.92648
2016/12/12,6.927924
2016/12/19,6.948053
2016/12/26,6.948274
2017/1/2,6.927114
